video_id,titulo,categoria,fecha_publicacion,duracion_segundos,views_totales,likes,comentarios
golazo_sint_0019,Análisis del partido - Jornada 20,Seguimiento del club,2015-12-10,60,22099,843,227
golazo_sint_0020,Análisis del partido - Jornada 21,Seguimiento del club,2015-12-28,558,19306,949,121
golazo_sint_0021,Análisis del partido - Jornada 22,Seguimiento del club,2016-01-09,467,10270,394,120
golazo_sint_0022,Rumores de fichajes: novedad #23,Fichajes,2016-01-18,3111,14232,712,177
golazo_sint_0023,Análisis del partido - Jornada 24,Seguimiento del club,2016-01-29,2022,6641,245,55
golazo_sint_0024,Nuestra opinión tras el partido #25,Opinión post-partido,2016-02-17,911,619,28,7
golazo_sint_0025,Nuestra opinión tras el partido #26,Opinión post-partido,2016-02-24,521,2316,78,19
golazo_sint_0026,Análisis del partido - Jornada 27,Seguimiento del club,2016-03-06,94,13493,513,61
golazo_sint_0027,Nuestra opinión tras el partido #28,Opinión post-partido,2016-03-18,1056,1526,56,13
golazo_sint_0028,Análisis del partido - Jornada 29,Seguimiento del club,2016-04-05,526,227,9,1
golazo_sint_0029,Rumores de fichajes: novedad #30,Fichajes,2016-04-16,1216,8482,361,82
golazo_sint_0030,Análisis del partido - Jornada 31,Seguimiento del club,2016-04-30,551,16873,573,174
golazo_sint_0031,Curiosidad futbolística #32,Curiosidades de fútbol,2016-05-11,127,8887,285,89
golazo_sint_0032,Nuestra opinión tras el partido #33,Opinión post-partido,2016-05-22,2389,332,13,3
golazo_sint_0033,Rumores de fichajes: novedad #34,Fichajes,2016-06-07,769,4273,190,27
golazo_sint_0034,Rumores de fichajes: novedad #35,Fichajes,2016-06-15,3666,3201,131,46
golazo_sint_0035,Nuestra opinión tras el partido #36,Opinión post-partido,2016-06-28,219,735,19,8
golazo_sint_0036,Análisis del partido - Jornada 37,Seguimiento del club,2016-07-13,2190,260,12,3
golazo_sint_0037,Análisis del partido - Jornada 38,Seguimiento del club,2016-07-24,1001,2700,100,18
golazo_sint_0038,Nuestra opinión tras el partido #39,Opinión post-partido,2016-08-07,533,184,7,2
golazo_sint_0039,Análisis del partido - Jornada 40,Seguimiento del club,2016-08-17,663,17066,459,197
golazo_sint_0040,Análisis del partido - Jornada 41,Seguimiento del club,2016-08-30,235,4050,192,43
golazo_sint_0041,Así vive la afición el partido #42,Afición,2016-09-07,1255,1262,39,8
golazo_sint_0042,Rumores de fichajes: novedad #43,Fichajes,2016-09-20,906,80,3,0
golazo_sint_0043,Análisis del partido - Jornada 44,Seguimiento del club,2016-10-03,768,1236,53,6
golazo_sint_0044,Análisis del partido - Jornada 45,Seguimiento del club,2016-10-14,734,12371,368,108
golazo_sint_0045,Análisis del partido - Jornada 46,Seguimiento del club,2016-10-28,907,5617,183,63
golazo_sint_0046,Análisis del partido - Jornada 47,Seguimiento del club,2016-11-08,60,2903,100,15
golazo_sint_0047,Análisis del partido - Jornada 48,Seguimiento del club,2016-11-22,113,14972,648,187
golazo_sint_0048,Análisis del partido - Jornada 49,Seguimiento del club,2016-12-07,60,4306,168,34
golazo_sint_0049,Análisis del partido - Jornada 50,Seguimiento del club,2016-12-17,599,4189,122,26
golazo_sint_0050,Curiosidad futbolística #51,Curiosidades de fútbol,2016-12-29,60,1675,68,16
golazo_sint_0051,Nuestra opinión tras el partido #52,Opinión post-partido,2017-01-10,1118,1221,33,5
golazo_sint_0052,Así vive la afición el partido #53,Afición,2017-01-22,72,2851,85,23
golazo_sint_0053,Nuestra opinión tras el partido #54,Opinión post-partido,2017-02-09,5284,234,10,2
golazo_sint_0054,Análisis del partido - Jornada 55,Seguimiento del club,2017-02-19,383,2197,81,13
golazo_sint_0055,Nuestra opinión tras el partido #56,Opinión post-partido,2017-03-03,60,9175,450,66
golazo_sint_0056,Análisis del partido - Jornada 57,Seguimiento del club,2017-03-12,780,3893,177,19
golazo_sint_0057,Análisis del partido - Jornada 58,Seguimiento del club,2017-03-28,60,10321,287,72
golazo_sint_0058,Análisis del partido - Jornada 59,Seguimiento del club,2017-04-06,60,1176,52,7
golazo_sint_0059,Nuestra opinión tras el partido #60,Opinión post-partido,2017-04-20,60,3115,93,36
golazo_sint_0060,Nuestra opinión tras el partido #61,Opinión post-partido,2017-05-06,202,1417,63,7
golazo_sint_0061,Nuestra opinión tras el partido #62,Opinión post-partido,2017-05-16,630,2687,91,15
golazo_sint_0062,Nuestra opinión tras el partido #63,Opinión post-partido,2017-05-28,320,897,33,9
golazo_sint_0063,Análisis del partido - Jornada 64,Seguimiento del club,2017-06-10,1288,11843,573,54
golazo_sint_0064,Nuestra opinión tras el partido #65,Opinión post-partido,2017-06-24,865,849,42,9
golazo_sint_0065,Así vive la afición el partido #66,Afición,2017-07-06,639,3299,121,39
golazo_sint_0066,Rumores de fichajes: novedad #67,Fichajes,2017-07-14,1259,250,10,2
golazo_sint_0067,Análisis del partido - Jornada 68,Seguimiento del club,2017-07-25,82,1256,56,6
golazo_sint_0068,Análisis del partido - Jornada 69,Seguimiento del club,2017-08-08,1103,7931,251,63
golazo_sint_0069,Nuestra opinión tras el partido #70,Opinión post-partido,2017-08-20,60,598,22,10
golazo_sint_0070,Nuestra opinión tras el partido #71,Opinión post-partido,2017-09-01,435,117,5,1
golazo_sint_0071,Análisis del partido - Jornada 72,Seguimiento del club,2017-09-19,419,2364,99,18
golazo_sint_0072,Rumores de fichajes: novedad #73,Fichajes,2017-10-01,993,449,18,3
golazo_sint_0073,Rumores de fichajes: novedad #74,Fichajes,2017-10-09,665,408,13,2
golazo_sint_0074,Nuestra opinión tras el partido #75,Opinión post-partido,2017-10-24,464,4985,229,62
golazo_sint_0075,Análisis del partido - Jornada 76,Seguimiento del club,2017-11-03,601,19034,774,186
golazo_sint_0076,Análisis del partido - Jornada 77,Seguimiento del club,2017-11-19,740,5225,176,37
golazo_sint_0077,Análisis del partido - Jornada 78,Seguimiento del club,2017-11-28,296,252,9,1
golazo_sint_0078,Análisis del partido - Jornada 79,Seguimiento del club,2017-12-09,156,1589,50,12
golazo_sint_0079,Nuestra opinión tras el partido #80,Opinión post-partido,2017-12-22,762,1375,54,6
golazo_sint_0080,Así vive la afición el partido #81,Afición,2018-01-05,323,828,23,6
golazo_sint_0081,Análisis del partido - Jornada 82,Seguimiento del club,2018-01-15,685,4254,134,36
golazo_sint_0082,Análisis del partido - Jornada 83,Seguimiento del club,2018-01-30,542,5804,234,50
golazo_sint_0083,Nuestra opinión tras el partido #84,Opinión post-partido,2018-02-14,60,6516,329,117
golazo_sint_0084,Análisis del partido - Jornada 85,Seguimiento del club,2018-02-22,1158,143,5,0
golazo_sint_0085,Rumores de fichajes: novedad #86,Fichajes,2018-03-05,1645,1097,46,7
golazo_sint_0086,Nuestra opinión tras el partido #87,Opinión post-partido,2018-03-24,927,204,5,1
golazo_sint_0087,Análisis del partido - Jornada 88,Seguimiento del club,2018-04-01,4230,6056,177,26
golazo_sint_0088,Nuestra opinión tras el partido #89,Opinión post-partido,2018-04-11,460,977,34,7
golazo_sint_0089,Análisis del partido - Jornada 90,Seguimiento del club,2018-04-23,369,1621,46,18
golazo_sint_0090,Rumores de fichajes: novedad #91,Fichajes,2018-05-05,882,394,16,3
golazo_sint_0091,Rumores de fichajes: novedad #92,Fichajes,2018-05-22,1177,10325,502,100
golazo_sint_0092,Análisis del partido - Jornada 93,Seguimiento del club,2018-06-04,541,2964,91,16
golazo_sint_0093,Análisis del partido - Jornada 94,Seguimiento del club,2018-06-14,921,2555,112,27
golazo_sint_0094,Análisis del partido - Jornada 95,Seguimiento del club,2018-06-23,1451,6595,325,46
golazo_sint_0095,Curiosidad futbolística #96,Curiosidades de fútbol,2018-07-08,817,10885,401,74
golazo_sint_0096,Nuestra opinión tras el partido #97,Opinión post-partido,2018-07-25,488,1155,42,5
golazo_sint_0097,Análisis del partido - Jornada 98,Seguimiento del club,2018-08-03,1013,1470,56,11
golazo_sint_0098,Análisis del partido - Jornada 99,Seguimiento del club,2018-08-19,603,700,31,6
golazo_sint_0099,Así vive la afición el partido #100,Afición,2018-08-30,1257,486,13,2
golazo_sint_0100,Nuestra opinión tras el partido #101,Opinión post-partido,2018-09-05,90,511,21,6
golazo_sint_0101,Rumores de fichajes: novedad #102,Fichajes,2018-09-23,60,2816,125,28
golazo_sint_0102,Nuestra opinión tras el partido #103,Opinión post-partido,2018-10-05,391,4499,177,33
golazo_sint_0103,Curiosidad futbolística #104,Curiosidades de fútbol,2018-10-16,847,20016,811,110
golazo_sint_0104,Nuestra opinión tras el partido #105,Opinión post-partido,2018-10-26,361,80,3,0
golazo_sint_0105,Curiosidad futbolística #106,Curiosidades de fútbol,2018-11-11,534,461,16,5
golazo_sint_0106,Así vive la afición el partido #107,Afición,2018-11-19,5325,2643,111,22
golazo_sint_0107,Nuestra opinión tras el partido #108,Opinión post-partido,2018-12-04,4293,1802,79,10
golazo_sint_0108,Rumores de fichajes: novedad #109,Fichajes,2018-12-16,1326,1916,55,20
golazo_sint_0109,Nuestra opinión tras el partido #110,Opinión post-partido,2019-01-01,570,1949,78,10
golazo_sint_0110,Rumores de fichajes: novedad #111,Fichajes,2019-01-13,498,2782,139,20
golazo_sint_0111,Nuestra opinión tras el partido #112,Opinión post-partido,2019-01-21,882,949,46,10
golazo_sint_0112,Así vive la afición el partido #113,Afición,2019-02-04,1007,2903,108,19
golazo_sint_0113,Rumores de fichajes: novedad #114,Fichajes,2019-02-14,97,8318,378,91
golazo_sint_0114,Nuestra opinión tras el partido #115,Opinión post-partido,2019-03-04,1645,203,8,1
golazo_sint_0115,Análisis del partido - Jornada 116,Seguimiento del club,2019-03-16,146,3749,114,30
golazo_sint_0116,Análisis del partido - Jornada 117,Seguimiento del club,2019-03-24,1120,5015,238,55
golazo_sint_0117,Nuestra opinión tras el partido #118,Opinión post-partido,2019-04-08,976,3304,106,41
golazo_sint_0118,Rumores de fichajes: novedad #119,Fichajes,2019-04-20,664,3472,159,33
golazo_sint_0119,Nuestra opinión tras el partido #120,Opinión post-partido,2019-04-29,60,5466,205,61
golazo_sint_0120,Nuestra opinión tras el partido #121,Opinión post-partido,2019-05-16,1104,180,5,0
golazo_sint_0121,Análisis del partido - Jornada 122,Seguimiento del club,2019-05-26,608,1598,51,8
golazo_sint_0122,Análisis del partido - Jornada 123,Seguimiento del club,2019-06-10,498,7030,205,83
golazo_sint_0123,Análisis del partido - Jornada 124,Seguimiento del club,2019-06-20,325,11395,367,62
golazo_sint_0124,Análisis del partido - Jornada 125,Seguimiento del club,2019-06-28,3520,3426,124,33
golazo_sint_0125,Análisis del partido - Jornada 126,Seguimiento del club,2019-07-13,128,1852,71,15
golazo_sint_0126,Nuestra opinión tras el partido #127,Opinión post-partido,2019-07-23,60,2518,130,26
golazo_sint_0127,Análisis del partido - Jornada 128,Seguimiento del club,2019-08-11,530,19909,884,208
golazo_sint_0128,Análisis del partido - Jornada 129,Seguimiento del club,2019-08-23,798,4270,193,24
golazo_sint_0129,Rumores de fichajes: novedad #130,Fichajes,2019-09-04,129,2923,132,13
golazo_sint_0130,Rumores de fichajes: novedad #131,Fichajes,2019-09-13,543,7977,249,36
golazo_sint_0131,Análisis del partido - Jornada 132,Seguimiento del club,2019-09-23,710,1922,53,18
golazo_sint_0132,Análisis del partido - Jornada 133,Seguimiento del club,2019-10-12,1110,1116,38,5
golazo_sint_0133,Nuestra opinión tras el partido #134,Opinión post-partido,2019-10-25,60,3233,152,24
golazo_sint_0134,Análisis del partido - Jornada 135,Seguimiento del club,2019-10-31,352,3020,135,19
golazo_sint_0135,Análisis del partido - Jornada 136,Seguimiento del club,2019-11-15,60,96,4,0
golazo_sint_0136,Análisis del partido - Jornada 137,Seguimiento del club,2019-11-24,79,96,3,0
golazo_sint_0137,Así vive la afición el partido #138,Afición,2019-12-12,544,1141,31,13
golazo_sint_0138,Nuestra opinión tras el partido #139,Opinión post-partido,2019-12-24,764,1615,78,7
golazo_sint_0139,Rumores de fichajes: novedad #140,Fichajes,2020-01-01,335,1883,98,23
golazo_sint_0140,Así vive la afición el partido #141,Afición,2020-01-16,60,2687,94,20
golazo_sint_0141,Rumores de fichajes: novedad #142,Fichajes,2020-01-28,414,1913,89,20
golazo_sint_0142,Análisis del partido - Jornada 143,Seguimiento del club,2020-02-08,789,11950,350,125
golazo_sint_0143,Análisis del partido - Jornada 144,Seguimiento del club,2020-02-25,559,1692,75,17
golazo_sint_0144,Análisis del partido - Jornada 145,Seguimiento del club,2020-03-05,60,8915,442,52
golazo_sint_0145,Rumores de fichajes: novedad #146,Fichajes,2020-03-15,63,5772,248,73
golazo_sint_0146,Así vive la afición el partido #147,Afición,2020-03-30,3612,133,4,0
golazo_sint_0147,Curiosidad futbolística #148,Curiosidades de fútbol,2020-04-13,473,2113,73,12
golazo_sint_0148,Análisis del partido - Jornada 149,Seguimiento del club,2020-04-21,2279,4730,129,42
golazo_sint_0149,Rumores de fichajes: novedad #150,Fichajes,2020-05-04,60,3254,152,15
golazo_sint_0150,Nuestra opinión tras el partido #151,Opinión post-partido,2020-05-22,961,1430,65,6
golazo_sint_0151,Nuestra opinión tras el partido #152,Opinión post-partido,2020-06-01,109,2782,107,14
golazo_sint_0152,Análisis del partido - Jornada 153,Seguimiento del club,2020-06-11,545,1864,55,15
golazo_sint_0153,Análisis del partido - Jornada 154,Seguimiento del club,2020-06-24,2865,806,24,5
golazo_sint_0154,Análisis del partido - Jornada 155,Seguimiento del club,2020-07-04,683,1325,61,8
golazo_sint_0155,Análisis del partido - Jornada 156,Seguimiento del club,2020-07-17,1159,3719,125,32
golazo_sint_0156,Análisis del partido - Jornada 157,Seguimiento del club,2020-07-30,966,22085,668,216
golazo_sint_0157,Nuestra opinión tras el partido #158,Opinión post-partido,2020-08-13,319,1652,47,20
golazo_sint_0158,Análisis del partido - Jornada 159,Seguimiento del club,2020-08-23,617,13225,479,127
golazo_sint_0159,Análisis del partido - Jornada 160,Seguimiento del club,2020-09-04,595,15769,767,131
golazo_sint_0160,Nuestra opinión tras el partido #161,Opinión post-partido,2020-09-16,765,545,19,4
golazo_sint_0161,Análisis del partido - Jornada 162,Seguimiento del club,2020-10-02,876,4586,156,57
golazo_sint_0162,Nuestra opinión tras el partido #163,Opinión post-partido,2020-10-11,633,336,9,2
golazo_sint_0163,Análisis del partido - Jornada 164,Seguimiento del club,2020-10-29,60,3649,101,44
golazo_sint_0164,Análisis del partido - Jornada 165,Seguimiento del club,2020-11-10,623,11528,554,119
golazo_sint_0165,Nuestra opinión tras el partido #166,Opinión post-partido,2020-11-16,65,2926,109,34
golazo_sint_0166,Análisis del partido - Jornada 167,Seguimiento del club,2020-11-30,457,3961,193,24
golazo_sint_0167,Nuestra opinión tras el partido #168,Opinión post-partido,2020-12-15,639,1648,68,13
golazo_sint_0168,Análisis del partido - Jornada 169,Seguimiento del club,2020-12-24,797,2572,120,26
golazo_sint_0169,Nuestra opinión tras el partido #170,Opinión post-partido,2021-01-05,92,1607,67,18
golazo_sint_0170,Análisis del partido - Jornada 171,Seguimiento del club,2021-01-23,450,3026,89,37
golazo_sint_0171,Análisis del partido - Jornada 172,Seguimiento del club,2021-02-02,1023,1376,48,7
golazo_sint_0172,Análisis del partido - Jornada 173,Seguimiento del club,2021-02-14,108,1171,32,12
golazo_sint_0173,Análisis del partido - Jornada 174,Seguimiento del club,2021-02-28,503,2953,113,20
golazo_sint_0174,Rumores de fichajes: novedad #175,Fichajes,2021-03-13,82,3274,143,22
golazo_sint_0175,Análisis del partido - Jornada 176,Seguimiento del club,2021-03-21,908,3125,134,21
golazo_sint_0176,Rumores de fichajes: novedad #177,Fichajes,2021-04-01,60,1114,44,12
golazo_sint_0177,Rumores de fichajes: novedad #178,Fichajes,2021-04-16,462,895,37,11
golazo_sint_0178,Análisis del partido - Jornada 179,Seguimiento del club,2021-04-28,1800,578,17,5
golazo_sint_0179,Análisis del partido - Jornada 180,Seguimiento del club,2021-05-11,104,14034,594,63
golazo_sint_0180,Análisis del partido - Jornada 181,Seguimiento del club,2021-05-25,4171,16063,485,162
golazo_sint_0181,Nuestra opinión tras el partido #182,Opinión post-partido,2021-06-06,2820,7944,346,37
golazo_sint_0182,Curiosidad futbolística #183,Curiosidades de fútbol,2021-06-21,1487,1672,70,14
golazo_sint_0183,Análisis del partido - Jornada 184,Seguimiento del club,2021-06-27,1162,6792,234,49
golazo_sint_0184,Nuestra opinión tras el partido #185,Opinión post-partido,2021-07-11,525,4319,139,38
golazo_sint_0185,Rumores de fichajes: novedad #186,Fichajes,2021-07-23,811,2305,107,24
golazo_sint_0186,Nuestra opinión tras el partido #187,Opinión post-partido,2021-08-08,445,5840,287,65
golazo_sint_0187,Rumores de fichajes: novedad #188,Fichajes,2021-08-16,60,13331,751,99
golazo_sint_0188,Curiosidad futbolística #189,Curiosidades de fútbol,2021-08-28,296,2140,63,20
golazo_sint_0189,Análisis del partido - Jornada 190,Seguimiento del club,2021-09-11,501,257,9,2
golazo_sint_0190,Análisis del partido - Jornada 191,Seguimiento del club,2021-09-24,317,4141,120,44
golazo_sint_0191,Análisis del partido - Jornada 192,Seguimiento del club,2021-10-05,5092,342,16,3
golazo_sint_0192,Análisis del partido - Jornada 193,Seguimiento del club,2021-10-17,507,10823,449,129
golazo_sint_0193,Nuestra opinión tras el partido #194,Opinión post-partido,2021-11-03,60,2050,81,39
golazo_sint_0194,Nuestra opinión tras el partido #195,Opinión post-partido,2021-11-12,60,7132,255,60
golazo_sint_0195,Análisis del partido - Jornada 196,Seguimiento del club,2021-11-28,1359,703,28,8
golazo_sint_0196,Rumores de fichajes: novedad #197,Fichajes,2021-12-08,116,5674,215,69
golazo_sint_0197,Rumores de fichajes: novedad #198,Fichajes,2021-12-16,150,340,11,3
golazo_sint_0198,Análisis del partido - Jornada 199,Seguimiento del club,2022-01-05,3481,12400,427,83
golazo_sint_0199,Nuestra opinión tras el partido #200,Opinión post-partido,2022-01-16,482,2701,104,13
golazo_sint_0200,Rumores de fichajes: novedad #201,Fichajes,2022-01-29,418,1365,55,10
golazo_sint_0201,Análisis del partido - Jornada 202,Seguimiento del club,2022-02-10,468,12367,515,125
golazo_sint_0202,Rumores de fichajes: novedad #203,Fichajes,2022-02-22,170,2214,79,18
golazo_sint_0203,Curiosidad futbolística #204,Curiosidades de fútbol,2022-03-01,1063,6821,228,64
golazo_sint_0204,Análisis del partido - Jornada 205,Seguimiento del club,2022-03-16,817,2431,106,22
golazo_sint_0205,Análisis del partido - Jornada 206,Seguimiento del club,2022-03-26,60,10855,489,121
golazo_sint_0206,Análisis del partido - Jornada 207,Seguimiento del club,2022-04-09,2000,9808,280,78
golazo_sint_0207,Nuestra opinión tras el partido #208,Opinión post-partido,2022-04-19,60,5142,257,39
golazo_sint_0208,Curiosidad futbolística #209,Curiosidades de fútbol,2022-05-04,658,1574,59,18
golazo_sint_0209,Análisis del partido - Jornada 210,Seguimiento del club,2022-05-20,3245,506,18,4
golazo_sint_0210,Rumores de fichajes: novedad #211,Fichajes,2022-05-27,60,6178,221,68
golazo_sint_0211,Análisis del partido - Jornada 212,Seguimiento del club,2022-06-13,60,96,4,0
golazo_sint_0212,Rumores de fichajes: novedad #213,Fichajes,2022-06-23,213,2926,101,32
golazo_sint_0213,Nuestra opinión tras el partido #214,Opinión post-partido,2022-07-05,450,966,45,11
golazo_sint_0214,Análisis del partido - Jornada 215,Seguimiento del club,2022-07-21,2398,22920,682,264
golazo_sint_0215,Rumores de fichajes: novedad #216,Fichajes,2022-08-03,225,14382,821,228
golazo_sint_0216,Así vive la afición el partido #217,Afición,2022-08-12,119,697,24,4
golazo_sint_0217,Nuestra opinión tras el partido #218,Opinión post-partido,2022-08-25,460,1561,69,7
golazo_sint_0218,Análisis del partido - Jornada 219,Seguimiento del club,2022-09-02,532,658,18,6
golazo_sint_0219,Curiosidad futbolística #220,Curiosidades de fútbol,2022-09-16,3057,620,17,4
golazo_sint_0220,Rumores de fichajes: novedad #221,Fichajes,2022-10-03,4956,230,11,1
golazo_sint_0221,Análisis del partido - Jornada 222,Seguimiento del club,2022-10-13,76,4147,188,25
golazo_sint_0222,Análisis del partido - Jornada 223,Seguimiento del club,2022-10-25,273,3089,103,14
golazo_sint_0223,Análisis del partido - Jornada 224,Seguimiento del club,2022-11-08,427,557,20,4
golazo_sint_0224,Nuestra opinión tras el partido #225,Opinión post-partido,2022-11-15,627,2282,82,12
golazo_sint_0225,Análisis del partido - Jornada 226,Seguimiento del club,2022-12-01,2483,18017,832,122
golazo_sint_0226,Así vive la afición el partido #227,Afición,2022-12-13,260,135,6,1
golazo_sint_0227,Rumores de fichajes: novedad #228,Fichajes,2022-12-28,101,6694,278,80
golazo_sint_0228,Análisis del partido - Jornada 229,Seguimiento del club,2023-01-04,430,5620,198,52
golazo_sint_0229,Curiosidad futbolística #230,Curiosidades de fútbol,2023-01-22,238,1254,50,12
golazo_sint_0230,Nuestra opinión tras el partido #231,Opinión post-partido,2023-01-28,60,7657,382,111
golazo_sint_0231,Rumores de fichajes: novedad #232,Fichajes,2023-02-10,60,935,33,5
golazo_sint_0232,Rumores de fichajes: novedad #233,Fichajes,2023-02-26,1320,11205,466,76
golazo_sint_0233,Análisis del partido - Jornada 234,Seguimiento del club,2023-03-10,3477,3239,146,33
golazo_sint_0234,Rumores de fichajes: novedad #235,Fichajes,2023-03-20,3866,1481,41,17
golazo_sint_0235,Curiosidad futbolística #236,Curiosidades de fútbol,2023-03-31,60,2123,84,16
golazo_sint_0236,Análisis del partido - Jornada 237,Seguimiento del club,2023-04-18,633,8912,408,75
golazo_sint_0237,Rumores de fichajes: novedad #238,Fichajes,2023-04-26,1195,2627,119,32
golazo_sint_0238,Nuestra opinión tras el partido #239,Opinión post-partido,2023-05-11,528,1369,41,14
golazo_sint_0239,Nuestra opinión tras el partido #240,Opinión post-partido,2023-05-23,608,6994,270,79
golazo_sint_0240,Análisis del partido - Jornada 241,Seguimiento del club,2023-06-03,144,1055,38,12
golazo_sint_0241,Rumores de fichajes: novedad #242,Fichajes,2023-06-17,483,2292,113,26
golazo_sint_0242,Análisis del partido - Jornada 243,Seguimiento del club,2023-06-29,899,533,20,2
golazo_sint_0243,Así vive la afición el partido #244,Afición,2023-07-14,4016,9067,245,100
golazo_sint_0244,Rumores de fichajes: novedad #245,Fichajes,2023-07-21,1093,126,5,1
golazo_sint_0245,Análisis del partido - Jornada 246,Seguimiento del club,2023-08-06,938,96,3,0
golazo_sint_0246,Así vive la afición el partido #247,Afición,2023-08-15,673,118,5,1
golazo_sint_0247,Análisis del partido - Jornada 248,Seguimiento del club,2023-08-28,705,2477,69,10
golazo_sint_0248,Nuestra opinión tras el partido #249,Opinión post-partido,2023-09-12,451,1665,81,20
golazo_sint_0249,Nuestra opinión tras el partido #250,Opinión post-partido,2023-09-21,4429,2643,124,21
golazo_sint_0250,Análisis del partido - Jornada 251,Seguimiento del club,2023-10-04,371,4970,197,22
golazo_sint_0251,Análisis del partido - Jornada 252,Seguimiento del club,2023-10-19,566,4670,205,47
golazo_sint_0252,Así vive la afición el partido #253,Afición,2023-10-27,944,1188,38,13
golazo_sint_0253,Análisis del partido - Jornada 254,Seguimiento del club,2023-11-11,3124,5670,249,30
golazo_sint_0254,Análisis del partido - Jornada 255,Seguimiento del club,2023-11-27,644,1300,47,14
golazo_sint_0255,Rumores de fichajes: novedad #256,Fichajes,2023-12-10,876,14938,535,161
golazo_sint_0256,Análisis del partido - Jornada 257,Seguimiento del club,2023-12-15,60,5222,182,63
golazo_sint_0257,Así vive la afición el partido #258,Afición,2023-12-28,60,1425,40,13
golazo_sint_0258,Rumores de fichajes: novedad #259,Fichajes,2024-01-10,2018,7216,323,59
golazo_sint_0259,Análisis del partido - Jornada 260,Seguimiento del club,2024-01-27,60,8287,366,42
golazo_sint_0260,Análisis del partido - Jornada 261,Seguimiento del club,2024-02-08,188,4439,170,22
golazo_sint_0261,Curiosidad futbolística #262,Curiosidades de fútbol,2024-02-21,60,417,18,4
golazo_sint_0262,Análisis del partido - Jornada 263,Seguimiento del club,2024-02-29,425,8726,378,78
golazo_sint_0263,Rumores de fichajes: novedad #264,Fichajes,2024-03-11,954,616,18,4
golazo_sint_0264,Nuestra opinión tras el partido #265,Opinión post-partido,2024-03-28,950,314,10,3
golazo_sint_0265,Rumores de fichajes: novedad #266,Fichajes,2024-04-09,3206,3440,131,32
golazo_sint_0266,Rumores de fichajes: novedad #267,Fichajes,2024-04-21,557,1422,50,16
golazo_sint_0267,Nuestra opinión tras el partido #268,Opinión post-partido,2024-05-06,861,662,30,6
golazo_sint_0268,Nuestra opinión tras el partido #269,Opinión post-partido,2024-05-16,525,6255,235,35
golazo_sint_0269,Rumores de fichajes: novedad #270,Fichajes,2024-05-23,954,2909,119,36
golazo_sint_0270,Análisis del partido - Jornada 271,Seguimiento del club,2024-06-10,885,4754,169,24
golazo_sint_0271,Análisis del partido - Jornada 272,Seguimiento del club,2024-06-19,726,14428,639,64
golazo_sint_0272,Rumores de fichajes: novedad #273,Fichajes,2024-07-04,60,9532,530,92
golazo_sint_0273,Análisis del partido - Jornada 274,Seguimiento del club,2024-07-18,496,2807,117,28
golazo_sint_0274,Nuestra opinión tras el partido #275,Opinión post-partido,2024-07-25,723,994,38,11
golazo_sint_0275,Nuestra opinión tras el partido #276,Opinión post-partido,2024-08-06,567,979,39,11
golazo_sint_0276,Nuestra opinión tras el partido #277,Opinión post-partido,2024-08-18,245,5328,217,48
golazo_sint_0277,Análisis del partido - Jornada 278,Seguimiento del club,2024-09-03,416,6734,231,73
golazo_sint_0278,Rumores de fichajes: novedad #279,Fichajes,2024-09-13,341,2742,120,24
golazo_sint_0279,Análisis del partido - Jornada 280,Seguimiento del club,2024-09-28,73,2365,105,21
golazo_sint_0280,Rumores de fichajes: novedad #281,Fichajes,2024-10-11,455,514,17,6
